Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
Haus4	Haus4	206	188	207	292	36	50	62	64
Haus5	Haus5	120	140	114	160	34	63	51	59
Haus6	Haus6	186	159	205	199	127	143	202	154
Haus7	Haus7	460	403	540	637	148	79	114	106
Haus8	Haus8	704	562	744	918	123	125	113	163
Havcr1	Havcr1	1	0	0	0	0	0	0	0
Havcr2	Havcr2	48	35	61	87	25	38	37	33
Hax1	Hax1	2332	2037	2598	2693	390	286	346	392
Hba-a1	Hba-a1	121.9	105.898	181.924	167.883	0.00589223	0.00501102	0.00400338	0.00371518
Hba-a2	Hba-a2	0.0998463	0.101632	0.076039	0.117337	18.9941	13.995	17.996	12.9963
Hba-x	Hba-x	0	0	0	0	0	0	0	0
Hbb-b1	Hbb-b1	129.995	70.7161	24.7227	146.973	4	0.00207223	4	6
Hbb-b2	Hbb-b2	0.00489557	19.2839	99.2773	0.0272796	0	3.99793	0	0
Hbb-bh1	Hbb-bh1	0	0	0	0	0	0	0	0
Hbb-bh2	Hbb-bh2	0	0	0	0	0	0	0	0
Hbb-y	Hbb-y	0	2	1	1	0	0	0	0
Hbegf	Hbegf	256	200	308	328	66	69	90	86
Hbp1	Hbp1	1360	1229	1439	1514	397	348	473	522
Hbq1a	Hbq1a	25	31	25	21	1	0	3	6
Hbq1b	Hbq1b	0	0	3	1	0	0	0	0
Hbs1l	Hbs1l	1835	1563	2013	2043	474	468	597.999	498
Hbxip	Hbxip	2179	1732	2168	2430	231	132	172	171
Hc	Hc	8	14	16	12	1	3	1	4
Hccs	Hccs	1251	1097	1383	1631	159	160	212	184
Hcfc1	Hcfc1	2511	2273	2436	3060	2520	2814	4331	4324
Hcfc1r1	Hcfc1r1	4422.01	3715	5005	5747	651	426	433	620
Hcfc2	Hcfc2	422	338	388	452	221	183	270	266
Hck	Hck	50	31	41	53	12	20	7	12
